_ms":1,"request_id":"req_2df88331-b46a-4954-b1c4-2e52254d5114","tenant_id":"18648eba-1f32-4ddd-9029-c0b84ae0f875","user_id":"4b71bae5-ee64-4e1f-820f-cac74de958cf"}
{"time":"2026-09-10T08:19:46.741954305Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_ffe93b0291c34f38b6f223f46a580563","status":200,"latency_ms":1,"request_id":"req_c0003709-2def-4c0e-8731-a9190f1ef66d","tenant_id":"18648eba-1f32-4ddd-9029-c0b84ae0f875","user_id":"4b71bae5-ee64-4e1f-820f-cac74de958cf"}
{"time":"2026-09-10T08:19:46.902302985Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_113bed50b94e408bb1f94b16868980bf","status":200,"latency_ms":20,"request_id":"req_56e30168-65d6-4365-8e39-3841a5c3a2f9","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:19:47.027572819Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_33d1625655954c0db165c11ef21e5f6a","status":200,"latency_ms":4,"request_id":"req_3c85db5b-5ffd-41d3-bf9b-6c4a8ec35238","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:19:47.337009588Z","level":"INFO","msg":"http request","method":"DELETE","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":202,"latency_ms":4,"request_id":"req_c1205c95-661e-49dc-9dd8-22d0e6313e1a","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:19:47.363547168Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_bd08c208-8bc0-4d16-acdc-8afa5e2ba590","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:19:49.392134235Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_06243377-ca1d-42d5-9ac4-e6446fd5d197","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:19:51.434252903Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_5ee670f2-01ee-455d-8e24-434b9e10dc9b","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:19:53.462014079Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":2,"request_id":"req_c3f030ea-c578-4f24-8c36-40cb6e5059a5","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:19:55.490782982Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_fb39e592-f04d-4c74-a49a-01e540953a07","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:19:57.518262875Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_d6a720cc-47ec-433e-8e83-efbbfd37fdeb","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:19:59.546648863Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_fbd70e8a-889a-42d2-b523-5da94450e369","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:01.575615951Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_ad2d4c65-675f-47f0-81e4-bb467e394285","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:03.602200363Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_71142488-4701-42ed-b5b3-c1e7914bf973","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:05.63349012Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_efc1c8e9-e685-41ff-9bd7-6b34ce7455da","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:07.661718797Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_5153c2f7-77f9-42c6-b9bd-14bbfe22f6aa","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:09.690558263Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_68129699-9231-4cb4-bf6d-67667253f311","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:11.718365467Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_89a45ed2-d02e-4714-8ab2-4f30286ce7d8","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:13.766499258Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_56b260ab-bf89-4ad9-8f8e-0d1998ee1fd5","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:15.793287638Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_cef59142-32d1-41cb-a53f-83090761a536","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:17.82078301Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_60c1f55b-e226-4ade-989d-9e00994d17a5","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:19.847104487Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_74c77839-2614-4b7e-ba27-8ac5913f1f57","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:21.878276569Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_c265c4ab-c12a-4cdc-8eff-acb0114e8757","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:23.905487604Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_74d6a824-82f0-4651-8663-46183c1ead52","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:25.93277947Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_4ed31b93-55bb-472b-bd1a-629f29d3be11","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:27.960080937Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_b5aced51-9280-4957-a2f0-24f761ef81d1","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:29.988060103Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_8d89cfc2-97a3-4fa9-85c2-2d595d3807dc","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:32.015251609Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_6bfc52f9-54d2-4df6-839a-1037f18df9c8","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
{"time":"2026-09-10T08:20:34.042947818Z","level":"INFO","msg":"http request","method":"GET","path":"/api/v1/networks/vpcs/vpc_9e3d6b035c674a2a9a6eab4d515d61e7","status":200,"latency_ms":1,"request_id":"req_cab08466-afbd-473b-a2da-b4be73c96e59","tenant_id":"fd39ecf7-ac0c-4540-9fbd-4ba08486f30f","user_id":"b6b681d5-f45c-4c36-af1c-3aa26381841d"}
